CPT1/HCPCS,Mod,Status,Description,Work RVUs,Non-Facility PE RVUs,Facility PE RVUs,Mal-Practice RVUs,Total Non-Facility RVUs,Total Facility RVUs,Global
33251,,A,Ablate heart dysrhythm focus,28.92,NA,11.40,6.79,NA,47.11,090
33254,,A,Ablate atria lmtd,23.71,NA,10.31,5.57,NA,39.59,090
33255,,A,Ablate atria w/o bypass ext,29.04,NA,11.81,6.83,NA,47.68,090
33256,,A,Ablate atria w/bypass exten,34.90,NA,13.56,7.93,NA,56.39,090
33257,,A,Ablate atria lmtd add-on,9.63,NA,5.07,2.17,NA,16.87,ZZZ
33258,,A,Ablate atria x10sv add-on,11.00,NA,5.51,2.45,NA,18.96,ZZZ
33259,,A,Ablate atria w/bypass add-on,14.14,NA,7.15,3.19,NA,24.48,ZZZ
33261,,A,Ablate heart dysrhythm focus,28.92,NA,11.39,6.79,NA,47.10,090
33262,,A,Rmvl& replc pulse gen 1 lead,5.81,NA,3.66,1.34,NA,10.81,090
33263,,A,Rmvl & rplcmt dfb gen 2 lead,6.08,NA,3.77,1.41,NA,11.26,090
33264,,A,Rmvl & rplcmt dfb gen mlt ld,6.35,NA,3.92,1.47,NA,11.74,090
33265,,A,Ablate atria lmtd endo,23.71,NA,10.35,5.32,NA,39.38,090
33266,,A,Ablate atria x10sv endo,33.04,NA,13.00,7.53,NA,53.57,090
33270,,A,Ins/rep subq defibrillator,9.10,NA,5.90,2.13,NA,17.13,090
33271,,A,Insj subq impltbl dfb elctrd,7.50,NA,5.18,1.65,NA,14.33,090
33272,,A,Rmvl of subq defibrillator,5.42,NA,3.48,1.22,NA,10.12,090
33273,,A,Repos prev impltbl subq dfb,6.50,NA,3.92,1.40,NA,11.82,090
3328F,,I,Prfrmnc docd 2 wks b/4 surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33282,,A,Implant pat-active ht record,3.25,NA,2.54,0.74,NA,6.53,090
33284,,A,Remove pat-active ht record,2.75,NA,2.35,0.64,NA,5.74,090
3330F,,I,Imaging study ordered (bkp),0.00,0.00,0.00,0.00,0.00,0.00,XXX
33300,,A,Repair of heart wound,44.97,NA,15.93,10.22,NA,71.12,090
33305,,A,Repair of heart wound,76.93,NA,24.57,17.56,NA,119.06,090
3331F,,I,Bk imaging tst not ordered,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33310,,A,Exploratory heart surgery,20.34,NA,9.67,4.21,NA,34.22,090
33315,,A,Exploratory heart surgery,35.00,NA,12.65,7.85,NA,55.50,090
33320,,A,Repair major blood vessel(s),18.54,NA,8.09,4.18,NA,30.81,090
33321,,A,Repair major vessel,20.81,NA,9.13,4.58,NA,34.52,090
33322,,A,Repair major blood vessel(s),24.42,NA,10.35,5.49,NA,40.26,090
33330,,A,Insert major vessel graft,25.29,NA,10.42,5.75,NA,41.46,090
33335,,A,Insert major vessel graft,33.91,NA,12.95,7.57,NA,54.43,090
33340,,A,Perq clsr tcat l atr apndge,14.00,NA,6.14,3.08,NA,23.22,000
33361,,A,Replace aortic valve perq,25.13,NA,8.66,5.80,NA,39.59,000
33362,,A,Replace aortic valve open,27.52,NA,9.32,6.36,NA,43.20,000
33363,,A,Replace aortic valve open,28.50,NA,10.41,6.57,NA,45.48,000
33364,,A,Replace aortic valve open,30.00,NA,10.23,6.93,NA,47.16,000
33365,,A,Replace aortic valve open,33.12,NA,11.13,7.63,NA,51.88,000
33366,,A,Trcath replace aortic valve,35.88,NA,11.91,8.32,NA,56.11,000
33367,,A,Replace aortic valve w/byp,11.88,NA,3.59,2.73,NA,18.20,ZZZ
33368,,A,Replace aortic valve w/byp,14.39,NA,4.00,3.34,NA,21.73,ZZZ
33369,,A,Replace aortic valve w/byp,19.00,NA,5.28,4.46,NA,28.74,ZZZ
33390,,A,Valvuloplasty aortic valve,35.00,NA,13.06,7.31,NA,55.37,090
33391,,A,Valvuloplasty aortic valve,41.50,NA,15.45,8.66,NA,65.61,090
3340F,,M,Mammo assess inc xray docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33404,,A,Prepare heart-aorta conduit,31.37,NA,12.63,6.92,NA,50.92,090
33405,,A,Replacement aortic valve opn,41.32,NA,15.23,9.30,NA,65.85,090
33406,,A,Replacement aortic valve opn,52.68,NA,18.92,11.94,NA,83.54,090
3341F,,M,Mammo assess negative docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33410,,A,Replacement aortic valve opn,46.41,NA,16.98,10.43,NA,73.82,090
33411,,A,Replacement of aortic valve,62.07,NA,21.43,13.93,NA,97.43,090
33412,,A,Replacement of aortic valve,59.00,NA,19.57,13.54,NA,92.11,090
33413,,A,Replacement of aortic valve,59.87,NA,26.29,8.12,NA,94.28,090
33414,,A,Repair of aortic valve,39.37,NA,14.03,9.31,NA,62.71,090
33415,,A,Revision subvalvular tissue,37.27,NA,13.68,8.08,NA,59.03,090
33416,,A,Revise ventricle muscle,36.56,NA,14.11,8.25,NA,58.92,090
33417,,A,Repair of aortic valve,29.33,NA,12.31,6.94,NA,48.58,090
33418,,A,Repair tcat mitral valve,32.25,NA,13.11,7.06,NA,52.42,090
33419,,A,Repair tcat mitral valve,7.93,NA,2.71,1.75,NA,12.39,ZZZ
3342F,,M,Mammo assess bengn docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33420,,A,Revision of mitral valve,25.79,NA,10.55,6.06,NA,42.40,090
33422,,A,Revision of mitral valve,29.73,NA,11.91,6.85,NA,48.49,090
33425,,A,Repair of mitral valve,49.96,NA,18.15,11.16,NA,79.27,090
33426,,A,Repair of mitral valve,43.28,NA,16.13,9.72,NA,69.13,090
33427,,A,Repair of mitral valve,44.83,NA,16.10,10.06,NA,70.99,090
3343F,,M,Mammo probably bengn docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33430,,A,Replacement of mitral valve,50.93,NA,18.80,11.47,NA,81.20,090
3344F,,M,Mammo assess susp docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
3345F,,M,Mammo assess hghlymalig doc,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33460,,A,Revision of tricuspid valve,44.70,NA,15.50,10.28,NA,70.48,090
33463,,A,Valvuloplasty tricuspid,57.08,NA,19.87,12.76,NA,89.71,090
33464,,A,Valvuloplasty tricuspid,44.62,NA,16.33,9.93,NA,70.88,090
33465,,A,Replace tricuspid valve,50.72,NA,17.91,11.45,NA,80.08,090
33468,,A,Revision of tricuspid valve,45.13,NA,15.69,10.67,NA,71.49,090
33470,,A,Revision of pulmonary valve,21.54,NA,11.08,5.09,NA,37.71,090
33471,,A,Valvotomy pulmonary valve,22.96,NA,11.91,5.43,NA,40.30,090
33474,,A,Revision of pulmonary valve,39.40,NA,14.77,9.32,NA,63.49,090
33475,,A,Replacement pulmonary valve,42.40,NA,15.63,9.64,NA,67.67,090
33476,,A,Revision of heart chamber,26.57,NA,11.47,6.28,NA,44.32,090
33477,,A,Implant tcat pulm vlv perq,25.00,NA,8.91,4.11,NA,38.02,000
33478,,A,Revision of heart chamber,27.54,NA,11.75,6.51,NA,45.80,090
33496,,A,Repair prosth valve clot,29.84,NA,11.91,6.82,NA,48.57,090
3350F,,M,Mammo bx proven malig docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33500,,A,Repair heart vessel fistula,27.94,NA,11.12,6.31,NA,45.37,090
33501,,A,Repair heart vessel fistula,19.51,NA,8.21,4.59,NA,32.31,090
33502,,A,Coronary artery correction,21.85,NA,10.14,5.17,NA,37.16,090
33503,,A,Coronary artery graft,22.51,NA,10.78,5.32,NA,38.61,090
33504,,A,Coronary artery graft,25.46,NA,11.20,6.03,NA,42.69,090
33505,,A,Repair artery w/tunnel,38.40,NA,12.71,9.08,NA,60.19,090
33506,,A,Repair artery translocation,37.85,NA,13.12,8.95,NA,59.92,090
33507,,A,Repair art intramural,31.40,NA,11.44,7.43,NA,50.27,090
33508,,A,Endoscopic vein harvest,0.31,NA,0.09,0.07,NA,0.47,ZZZ
3351F,,I,Neg scrn dep symp by deptool,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33510,,A,Cabg vein single,34.98,NA,13.24,7.85,NA,56.07,090
33511,,A,Cabg vein two,38.45,NA,14.53,8.65,NA,61.63,090
33512,,A,Cabg vein three,43.98,NA,16.18,9.89,NA,70.05,090
33513,,A,Cabg vein four,45.37,NA,16.52,10.22,NA,72.11,090
33514,,A,Cabg vein five,48.08,NA,17.23,10.84,NA,76.15,090
33516,,A,Cabg vein six or more,49.76,NA,18.20,11.77,NA,79.73,090
33517,,A,Cabg artery-vein single,3.61,NA,1.03,0.81,NA,5.45,ZZZ
33518,,A,Cabg artery-vein two,7.93,NA,2.25,1.79,NA,11.97,ZZZ
33519,,A,Cabg artery-vein three,10.49,NA,2.98,2.36,NA,15.83,ZZZ
3352F,,I,No sig dep symp by dep tool,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33521,,A,Cabg artery-vein four,12.59,NA,3.56,2.84,NA,18.99,ZZZ
33522,,A,Cabg artery-vein five,14.14,NA,4.00,3.17,NA,21.31,ZZZ
33523,,A,Cabg art-vein six or more,16.08,NA,4.50,3.57,NA,24.15,ZZZ
3353F,,I,Mild-mod dep symp by deptool,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33530,,A,Coronary artery bypass/reop,10.13,NA,2.87,2.29,NA,15.29,ZZZ
33533,,A,Cabg arterial single,33.75,NA,12.89,7.58,NA,54.22,090
33534,,A,Cabg arterial two,39.88,NA,14.93,8.99,NA,63.80,090
33535,,A,Cabg arterial three,44.75,NA,16.38,10.09,NA,71.22,090
33536,,A,Cabg arterial four or more,48.43,NA,17.49,10.85,NA,76.77,090
3354F,,I,Clin sig dep sym by dep tool,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33542,,A,Removal of heart lesion,48.21,NA,17.16,10.81,NA,76.18,090
33545,,A,Repair of heart damage,57.06,NA,19.79,13.07,NA,89.92,090
33548,,A,Restore/remodel ventricle,54.14,NA,19.74,12.22,NA,86.10,090
33572,,A,Open coronary endarterectomy,4.44,NA,1.26,0.99,NA,6.69,ZZZ
33600,,A,Closure of valve,30.31,NA,12.58,7.17,NA,50.06,090
33602,,A,Closure of valve,29.34,NA,12.31,6.94,NA,48.59,090
33606,,A,Anastomosis/artery-aorta,31.53,NA,12.81,7.46,NA,51.80,090
33608,,A,Repair anomaly w/conduit,31.88,NA,13.03,7.53,NA,52.44,090
33610,,A,Repair by enlargement,31.40,NA,12.90,7.43,NA,51.73,090
33611,,A,Repair double ventricle,35.57,NA,12.95,8.41,NA,56.93,090
33612,,A,Repair double ventricle,36.57,NA,13.23,8.65,NA,58.45,090
33615,,A,Repair modified fontan,35.89,NA,13.82,8.49,NA,58.20,090
33617,,A,Repair single ventricle,39.09,NA,14.73,9.24,NA,63.06,090
33619,,A,Repair single ventricle,48.76,NA,19.16,11.54,NA,79.46,090
33620,,A,Apply r&l pulm art bands,30.00,NA,11.05,7.10,NA,48.15,090
33621,,A,Transthor cath for stent,16.18,NA,7.12,3.82,NA,27.12,090
33622,,A,Redo compl cardiac anomaly,64.00,NA,27.00,15.14,NA,106.14,090
33641,,A,Repair heart septum defect,29.58,NA,11.24,7.00,NA,47.82,090
33645,,A,Revision of heart veins,31.30,NA,11.76,7.41,NA,50.47,090
33647,,A,Repair heart septum defects,33.00,NA,12.22,7.80,NA,53.02,090
33660,,A,Repair of heart defects,31.83,NA,11.88,7.52,NA,51.23,090
33665,,A,Repair of heart defects,34.85,NA,14.24,8.24,NA,57.33,090
33670,,A,Repair of heart chambers,36.63,NA,12.29,8.67,NA,57.59,090
33675,,A,Close mult vsd,35.95,NA,13.09,8.50,NA,57.54,090
33676,,A,Close mult vsd w/resection,36.95,NA,16.63,8.74,NA,62.32,090
33677,,A,Cl mult vsd w/rem pul band,38.45,NA,17.21,9.09,NA,64.75,090
33681,,A,Repair heart septum defect,32.34,NA,13.60,7.64,NA,53.58,090
33684,,A,Repair heart septum defect,34.37,NA,12.61,8.13,NA,55.11,090
33688,,A,Repair heart septum defect,34.75,NA,15.15,8.22,NA,58.12,090
33690,,A,Reinforce pulmonary artery,20.36,NA,9.76,4.81,NA,34.93,090
33692,,A,Repair of heart defects,36.15,NA,15.69,8.55,NA,60.39,090
33694,,A,Repair of heart defects,35.57,NA,12.95,8.41,NA,56.93,090
33697,,A,Repair of heart defects,37.57,NA,13.52,8.88,NA,59.97,090
3370F,,I,Ajcc brst cncr stage 0 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33702,,A,Repair of heart defects,27.24,NA,11.36,6.44,NA,45.04,090
33710,,A,Repair of heart defects,37.50,NA,13.50,8.86,NA,59.86,090
3372F,,I,Ajcc brst cncr stage 1 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33720,,A,Repair of heart defect,27.26,NA,11.37,6.44,NA,45.07,090
33722,,A,Repair of heart defect,29.21,NA,11.27,6.91,NA,47.39,090
33724,,A,Repair venous anomaly,27.63,NA,10.73,6.53,NA,44.89,090
33726,,A,Repair pul venous stenosis,37.12,NA,13.43,8.78,NA,59.33,090
33730,,A,Repair heart-vein defect(s),36.14,NA,13.77,8.55,NA,58.46,090
33732,,A,Repair heart-vein defect,28.96,NA,12.20,6.85,NA,48.01,090
33735,,A,Revision of heart chamber,22.20,NA,10.28,5.25,NA,37.73,090
33736,,A,Revision of heart chamber,24.32,NA,10.89,5.75,NA,40.96,090
33737,,A,Revision of heart chamber,22.47,NA,10.01,5.31,NA,37.79,090
3374F,,I,Ajcc brst cncr stage 1 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33750,,A,Major vessel shunt,22.22,NA,11.08,5.25,NA,38.55,090
33755,,A,Major vessel shunt,22.60,NA,12.08,5.34,NA,40.02,090
3376F,,I,Ajcc brstcncr stage 2 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33762,,A,Major vessel shunt,22.60,NA,11.22,5.34,NA,39.16,090
33764,,A,Major vessel shunt & graft,22.60,NA,10.40,5.34,NA,38.34,090
33766,,A,Major vessel shunt,23.57,NA,11.59,5.58,NA,40.74,090
33767,,A,Major vessel shunt,25.30,NA,10.17,5.99,NA,41.46,090
33768,,A,Cavopulmonary shunting,8.00,NA,3.06,1.90,NA,12.96,ZZZ
33770,,A,Repair great vessels defect,39.07,NA,17.01,9.24,NA,65.32,090
33771,,A,Repair great vessels defect,40.63,NA,17.12,9.61,NA,67.36,090
33774,,A,Repair great vessels defect,31.73,NA,13.20,7.50,NA,52.43,090
33775,,A,Repair great vessels defect,32.99,NA,15.95,7.80,NA,56.74,090
33776,,A,Repair great vessels defect,34.75,NA,16.98,8.22,NA,59.95,090
33777,,A,Repair great vessels defect,34.17,NA,12.90,8.08,NA,55.15,090
33778,,A,Repair great vessels defect,42.75,NA,15.65,10.11,NA,68.51,090
33779,,A,Repair great vessels defect,43.23,NA,18.40,10.22,NA,71.85,090
3378F,,I,Ajcc brstcncr stage 3 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33780,,A,Repair great vessels defect,43.90,NA,18.85,10.38,NA,73.13,090
33781,,A,Repair great vessels defect,43.21,NA,18.10,10.21,NA,71.52,090
33782,,A,Nikaidoh proc,60.08,NA,19.95,14.21,NA,94.24,090
33783,,A,Nikaidoh proc w/ostia implt,65.08,NA,21.36,15.39,NA,101.83,090
33786,,A,Repair arterial trunk,41.87,NA,18.38,9.90,NA,70.15,090
33788,,A,Revision of pulmonary artery,27.42,NA,13.07,6.48,NA,46.97,090
3380F,,I,Ajcc brstcncr stage 4 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33800,,A,Aortic suspension,17.28,NA,7.41,4.09,NA,28.78,090
33802,,A,Repair vessel defect,18.37,NA,8.84,4.35,NA,31.56,090
33803,,A,Repair vessel defect,20.31,NA,8.40,4.80,NA,33.51,090
33813,,A,Repair septal defect,21.36,NA,11.30,5.05,NA,37.71,090
33814,,A,Repair septal defect,26.57,NA,11.52,6.28,NA,44.37,090
3382F,,I,Ajcc cln cncr stage 0 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33820,,A,Revise major vessel,16.69,NA,7.59,3.95,NA,28.23,090
33822,,A,Revise major vessel,17.71,NA,9.23,4.19,NA,31.13,090
33824,,A,Revise major vessel,20.23,NA,9.33,4.78,NA,34.34,090
3384F,,I,Ajcc cln cncr stage 1 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33840,,A,Remove aorta constriction,21.34,NA,11.29,5.04,NA,37.67,090
33845,,A,Remove aorta constriction,22.93,NA,10.49,5.42,NA,38.84,090
33851,,A,Remove aorta constriction,21.98,NA,11.54,5.20,NA,38.72,090
33852,,A,Repair septal defect,24.41,NA,10.56,5.78,NA,40.75,090
33853,,A,Repair septal defect,32.51,NA,13.21,7.69,NA,53.41,090
3386F,,I,Ajcc cln cncr stage 2 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33860,,A,Ascending aortic graft,59.46,NA,20.40,13.43,NA,93.29,090
33863,,A,Ascending aortic graft,58.79,NA,19.45,13.29,NA,91.53,090
33864,,A,Ascending aortic graft,60.08,NA,20.12,13.59,NA,93.79,090
33870,,A,Transverse aortic arch graft,46.06,NA,16.80,10.52,NA,73.38,090
33875,,A,Thoracic aortic graft,50.72,NA,17.30,11.60,NA,79.62,090
33877,,A,Thoracoabdominal graft,69.03,NA,20.79,15.95,NA,105.77,090
3388F,,I,Ajcc cln cncr stage 3 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33880,,A,Endovasc taa repr incl subcl,34.58,NA,10.22,7.70,NA,52.50,090
33881,,A,Endovasc taa repr w/o subcl,29.58,NA,8.92,6.60,NA,45.10,090
33883,,A,Insert endovasc prosth taa,21.09,NA,6.97,4.67,NA,32.73,090
33884,,A,Endovasc prosth taa add-on,8.20,NA,2.03,1.82,NA,12.05,ZZZ
33886,,A,Endovasc prosth delayed,18.09,NA,6.01,4.07,NA,28.17,090
33889,,A,Artery transpose/endovas taa,15.92,NA,3.57,3.53,NA,23.02,000
33891,,A,Car-car bp grft/endovas taa,20.00,NA,3.98,4.63,NA,28.61,000
3390F,,I,Ajcc cln cncr stage 4 docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33910,,A,Remove lung artery emboli,48.21,NA,17.41,10.93,NA,76.55,090
33915,,A,Remove lung artery emboli,24.95,NA,6.33,5.64,NA,36.92,090
33916,,A,Surgery of great vessel,78.00,NA,25.78,18.25,NA,122.03,090
33917,,A,Repair pulmonary artery,25.30,NA,11.16,5.99,NA,42.45,090
33920,,A,Repair pulmonary atresia,32.74,NA,15.10,7.74,NA,55.58,090
33922,,A,Transect pulmonary artery,24.22,NA,10.51,5.73,NA,40.46,090
33924,,A,Remove pulmonary shunt,5.49,NA,1.56,1.30,NA,8.35,ZZZ
33925,,A,Rpr pul art unifocal w/o cpb,31.30,NA,11.41,7.41,NA,50.12,090
33926,,A,Repr pul art unifocal w/cpb,44.73,NA,19.30,10.58,NA,74.61,090
33930,,X,Removal of donor heart/lung,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33933,,C,Prepare donor heart/lung,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33935,,R,Transplantation heart/lung,91.78,NA,31.11,21.54,NA,144.43,090
3394F,,M,Quant her2 ihc eval brst cx,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33940,,X,Removal of donor heart,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33944,,C,Prepare donor heart,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33945,,R,Transplantation of heart,89.50,NA,31.14,20.57,NA,141.21,090
33946,,A,Ecmo/ecls initiation venous,6.00,NA,1.79,1.18,NA,8.97,XXX
33947,,A,Ecmo/ecls initiation artery,6.63,NA,1.97,1.36,NA,9.96,XXX
33948,,A,Ecmo/ecls daily mgmt-venous,4.73,NA,1.45,0.76,NA,6.94,XXX
33949,,A,Ecmo/ecls daily mgmt artery,4.60,NA,1.39,0.81,NA,6.80,XXX
3395F,,M,Quant nonher2 ihc brst cx,0.00,0.00,0.00,0.00,0.00,0.00,XXX
33951,,A,Ecmo/ecls insj prph cannula,8.15,NA,3.21,1.10,NA,12.46,000
33952,,A,Ecmo/ecls insj prph cannula,8.15,NA,2.49,1.82,NA,12.46,000
33953,,A,Ecmo/ecls insj prph cannula,9.11,NA,3.58,1.23,NA,13.92,000
33954,,A,Ecmo/ecls insj prph cannula,9.11,NA,2.74,2.07,NA,13.92,000
33955,,A,Ecmo/ecls insj ctr cannula,16.00,NA,6.21,2.17,NA,24.38,000
33956,,A,Ecmo/ecls insj ctr cannula,16.00,NA,4.75,3.53,NA,24.28,000
33957,,A,Ecmo/ecls repos perph cnula,3.51,NA,1.44,0.48,NA,5.43,000
33958,,A,Ecmo/ecls repos perph cnula,3.51,NA,1.26,0.53,NA,5.30,000
33959,,A,Ecmo/ecls repos perph cnula,4.47,NA,1.80,0.61,NA,6.88,000
33962,,A,Ecmo/ecls repos perph cnula,4.47,NA,1.41,1.00,NA,6.88,000
33963,,A,Ecmo/ecls repos perph cnula,9.00,NA,3.54,1.22,NA,13.76,000
33964,,A,Ecmo/ecls repos perph cnula,9.50,NA,3.28,1.29,NA,14.07,000
33965,,A,Ecmo/ecls rmvl perph cannula,3.51,NA,1.44,0.48,NA,5.43,000
33966,,A,Ecmo/ecls rmvl prph cannula,4.50,NA,1.36,1.05,NA,6.91,000
33967,,A,Insert i-aort percut device,4.84,NA,1.62,1.10,NA,7.56,000
33968,,A,Remove aortic assist device,0.64,NA,0.21,0.13,NA,0.98,000
33969,,A,Ecmo/ecls rmvl perph cannula,5.22,NA,1.59,1.23,NA,8.04,000
33970,,A,Aortic circulation assist,6.74,NA,2.07,1.53,NA,10.34,000
33971,,A,Aortic circulation assist,11.99,NA,5.95,2.68,NA,20.62,090
33973,,A,Insert balloon device,9.75,NA,3.04,2.21,NA,15.00,000
33974,,A,Remove intra-aortic balloon,15.03,NA,7.55,3.36,NA,25.94,090
33975,,A,Implant ventricular device,25.00,NA,7.36,5.78,NA,38.14,XXX
33976,,A,Implant ventricular device,30.75,NA,8.52,7.22,NA,46.49,XXX
33977,,A,Remove ventricular device,20.86,NA,7.20,4.75,NA,32.81,XXX
33978,,A,Remove ventricular device,25.00,NA,7.99,5.87,NA,38.86,XXX
33979,,A,Insert intracorporeal device,37.50,NA,10.75,8.62,NA,56.87,XXX
33980,,A,Remove intracorporeal device,33.50,NA,10.77,7.69,NA,51.96,XXX
33981,,A,Replace vad pump ext,16.11,NA,4.49,3.55,NA,24.15,XXX
33982,,A,Replace vad intra w/o bp,37.86,NA,10.73,8.49,NA,57.08,XXX
33983,,A,Replace vad intra w/bp,44.54,NA,12.75,10.20,NA,67.49,XXX
33984,,A,Ecmo/ecls rmvl prph cannula,5.46,NA,1.63,1.26,NA,8.35,000
33985,,A,Ecmo/ecls rmvl ctr cannula,9.89,NA,2.85,2.32,NA,15.06,000
33986,,A,Ecmo/ecls rmvl ctr cannula,10.00,NA,2.89,2.34,NA,15.23,000
33987,,A,Artery expos/graft artery,4.04,NA,1.13,0.95,NA,6.12,ZZZ
33988,,A,Insertion of left heart vent,15.00,NA,4.37,3.48,NA,22.85,000
33989,,A,Removal of left heart vent,9.50,NA,2.74,2.23,NA,14.47,000
33990,,A,Insert vad artery access,7.90,NA,2.70,1.81,NA,12.41,XXX
33991,,A,Insert vad art&vein access,11.63,NA,3.91,2.63,NA,18.17,XXX
33992,,A,Remove vad different session,3.75,NA,1.24,0.85,NA,5.84,XXX
33993,,A,Reposition vad diff session,3.26,NA,1.11,0.73,NA,5.10,XXX
33999,,C,Cardiac surgery procedure,0.00,0.00,0.00,0.00,0.00,0.00,YYY
34001,,A,Removal of artery clot,17.88,NA,6.45,4.01,NA,28.34,090
34051,,A,Removal of artery clot,16.99,NA,5.08,3.91,NA,25.98,090
34101,,A,Removal of artery clot,10.93,NA,4.11,2.51,NA,17.55,090
34111,,A,Removal of arm artery clot,10.93,NA,4.12,2.49,NA,17.54,090
34151,,A,Removal of artery clot,26.52,NA,8.52,6.03,NA,41.07,090
34201,,A,Removal of artery clot,19.48,NA,6.24,4.48,NA,30.20,090
34203,,A,Removal of leg artery clot,17.86,NA,6.00,4.10,NA,27.96,090
34401,,A,Removal of vein clot,26.52,NA,10.41,5.72,NA,42.65,090
34421,,A,Removal of vein clot,13.37,NA,4.86,3.00,NA,21.23,090
34451,,A,Removal of vein clot,28.52,NA,12.47,6.71,NA,47.70,090
34471,,A,Removal of vein clot,21.11,NA,6.16,4.60,NA,31.87,090
34490,,A,Removal of vein clot,10.91,NA,4.35,2.54,NA,17.80,090
3450F,,I,Dyspnea scrnd no-mild dysp,0.00,0.00,0.00,0.00,0.00,0.00,XXX
34501,,A,Repair valve femoral vein,16.85,NA,5.99,3.41,NA,26.25,090
34502,,A,Reconstruct vena cava,28.07,NA,10.84,5.98,NA,44.89,090
3451F,,I,Dyspnea scrnd mod-high dysp,0.00,0.00,0.00,0.00,0.00,0.00,XXX
34510,,A,Transposition of vein valve,19.91,NA,10.15,4.81,NA,34.87,090
3452F,,I,Dyspnea not screened,0.00,0.00,0.00,0.00,0.00,0.00,XXX
34520,,A,Cross-over vein graft,19.18,NA,7.44,4.18,NA,30.80,090
34530,,A,Leg vein fusion,17.93,NA,5.73,4.16,NA,27.82,090
3455F,,M,Tb scrng done-interpd 6mon,0.00,0.00,0.00,0.00,0.00,0.00,XXX
3470F,,M,Ra disease activity low,0.00,0.00,0.00,0.00,0.00,0.00,XXX
3471F,,M,Ra disease activity mod,0.00,0.00,0.00,0.00,0.00,0.00,XXX
3472F,,M,Ra disease activity high,0.00,0.00,0.00,0.00,0.00,0.00,XXX
3475F,,M,Disease progn ra poor docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
3476F,,M,Disease progn ra good docd,0.00,0.00,0.00,0.00,0.00,0.00,XXX
34800,,A,Endovas aaa repr w/sm tube,21.54,NA,6.74,4.79,NA,33.07,090
34802,,A,Endovas aaa repr w/2-p part,23.79,NA,7.47,5.25,NA,36.51,090
34803,,A,Endovas aaa repr w/3-p part,24.82,NA,7.52,5.52,NA,37.86,090
34804,,A,Endovas aaa repr w/1-p part,23.79,NA,7.45,5.33,NA,36.57,090
34805,,A,Endovas aaa repr w/long tube,22.67,NA,7.05,5.21,NA,34.93,090
34806,,A,Aneurysm press sensor add-on,2.06,NA,0.38,0.48,NA,2.92,ZZZ
34808,,A,Endovas iliac a device addon,4.12,NA,0.99,0.97,NA,6.08,ZZZ
34812,,A,Xpose for endoprosth femorl,6.74,NA,1.59,1.55,NA,9.88,000
34813,,A,Femoral endovas graft add-on,4.79,NA,1.04,1.09,NA,6.92,ZZZ
34820,,A,Xpose for endoprosth iliac,9.74,NA,2.36,2.23,NA,14.33,000
34825,,A,Endovasc extend prosth init,12.80,NA,4.79,2.78,NA,20.37,090
34826,,A,Endovasc exten prosth addl,4.12,NA,0.99,0.91,NA,6.02,ZZZ
34830,,A,Open aortic tube prosth repr,35.23,NA,9.21,8.28,NA,52.72,090
34831,,A,Open aortoiliac prosth repr,37.98,NA,9.04,8.77,NA,55.79,090
34832,,A,Open aortofemor prosth repr,37.98,NA,8.96,8.46,NA,55.40,090
34833,,A,Xpose for endoprosth iliac,11.98,NA,3.10,2.73,NA,17.81,000
34834,,A,Xpose endoprosth brachial,5.34,NA,1.41,1.22,NA,7.97,000
34839,,B,Plnning pt spec fenest graft,0.00,0.00,0.00,0.00,0.00,0.00,YYY
34841,,C,Endovasc visc aorta 1 graft,0.00,0.00,0.00,0.00,0.00,0.00,YYY
34842,,C,Endovasc visc aorta 2 graft,0.00,0.00,0.00,0.00,0.00,0.00,YYY
