School,ID,CoNo,StNo,Low,High,Students
PINCUSHION HILL MONTESSORI SCH,605378,17,25,-1,3,97
PINE COBBLE SCHOOL,603643,3,25,-1,9,118
PINGREE SCHOOL,603789,9,25,9,12,341
PIONEER VALLEY CHRISTIAN SCHOO,603472,13,25,-1,12,282
PIONEER VALLEY MONTESSORI SCHO,2033996,13,25,-1,6,102
POPE JOHN PAUL II CATHOLIC ACA,601078,25,25,-1,8,395
POPE JOHN PAUL II CATHOLIC ACA,601001,25,25,-1,8,426
POPE JOHN PAUL II CATHOLIC ACA,600551,25,25,-1,8,185
POPE JOHN PAUL II HIGH SCHOOL,A0701303,1,25,9,12,226
POPE JOHN XXIII HIGH SCHOOL,601136,17,25,9,12,280
PRESCHOOL PLAYMATES,A9706736,23,25,-1,0,130
PRESENTATION OF MARY ACADEMY,600686,9,25,9,12,147
PROFESSIONAL CENTER FOR CHILD ,A0901819,9,25,-1,1,10
PROTESTANT GUILD FOR HUMAN SER,AB911726,17,25,-2,-2,60
QUINCY CATHOLIC ACADEMY,599883,21,25,-1,8,369
RADIUS PEDIATRIC CENTER DAY SC,A9902370,23,25,-1,12,19
RAINBOW KIDS LEARNING CENTER,A0770979,5,25,-1,0,33
RCS LEARNING CENTER,A0701304,17,25,1,9,32
READING MONTESSORI SCHOOL,K9302581,17,25,-1,0,49
REED ACADEMY,A9303208,17,25,1,9,42
RFK LANCASTER SCHOOL,604625,27,25,2,12,37
RFKCAC EXPERIMENT WITH TRAVEL ,2034162,13,25,7,12,20
RIVERBEND SCHOOL,BB121154,17,25,-1,8,153
RIVERSIDE LIFE SKILLS SCHOOL,A1101256,21,25,8,11,2
RIVERSIDE SCHOOL,603177,17,25,6,12,19
RIVERVIEW SCHOOL,603541,1,25,6,12,204
SACRED HEART ELEMENTARY SCHOOL,599475,23,25,-1,6,502
SACRED HEART ELEMENTARY SCHOOL,600471,21,25,-1,8,267
SACRED HEART HIGH SCHOOL,599464,23,25,7,12,360
SACRED HEART OF JESUS ELEMENTA,602945,27,25,0,8,174
SACRED HEART SCHOOL,599963,25,25,-1,8,358
SACRED HEART SCHOOL,600405,9,25,-1,8,266
SACRED HEARTS SCHOOL,599293,9,25,-1,8,471
SAMUEL FULLER SCHOOL,A0901820,23,25,0,6,42
SCHWARTZ CENTER FOR CHILDREN,A9902378,5,25,-1,12,47
SCRIBBLETIME A CENTER FOR EARL,A1170900,5,25,-1,0,119
SEAPORT ACADEMY,A0301817,25,25,7,12,21
SETON ACADEMY FOR GIRLS,A0104117,5,25,-1,8,51
SEVEN HILLS ACADEMY,A0301818,27,25,-2,-2,35
SEVEN HILLS AT GROTON,A0301791,17,25,-2,-2,28
SHADY HILL SCHOOL,604079,17,25,-1,8,518
SHALOH HOUSE HEBREW DAY SCHOOL,603621,25,25,-1,6,103
SHALOH HOUSE PRESCHOOL & KINDE,K9302601,21,25,-1,0,30
SHINING STARS LEARNING CENTER,A0770984,9,25,-1,0,112
SHORE COUNTRY DAY SCHOOL,603665,9,25,-1,9,433
SHREWSBURY CHILDRENS CENTER,A9706773,27,25,-1,0,118
SHREWSBURY MONTESSORI SCHOOL,A9103078,27,25,-1,6,164
SILVER SPRUCE MONTESSORI SCHOO,A0307636,27,25,-1,3,84
SINAI ACADEMY OF THE BERKSHIRE,A9902379,3,25,-1,2,18
SOLOMON SCHECHTER DAY SCHOOL O,603257,17,25,-1,8,488
SOLSTICE SCHOOL,A9701983,9,25,8,12,22
SOUTH BOSTON CATHOLIC ACADEMY,600187,25,25,-1,8,332
SOUTH LANCASTER ACADEMY,A9103103,27,25,-1,12,314
SOUTH SHORE CHRISTIAN ACADEMY,A9701985,21,25,-1,12,274
SOUTH SHORE CONSERVATORY OF MU,A0770986,23,25,-1,0,80
SOUTH SHORE SDA SCHOOL,A9502266,21,25,1,8,19
SOUTHBRIDGE CHRISTIAN ACADEMY,A9103104,27,25,3,12,22
SOUTHEAST ALTERNATIVE SCHOOL,A9103125,23,25,9,12,21
SOUTHEAST ALTERNATIVE SCHOOL-H,A1101258,1,25,9,12,22
SOUTHEAST ALTERNATIVE SCHOOL-M,A0104119,23,25,6,8,4
SOUTHEAST CAMPUS SCHOOL,A9303194,23,25,6,12,22
SOUTHWICK BAPTIST SCHOOL,A0501932,13,25,0,7,35
SPARHAWK SCHOOL,A9701986,9,25,0,12,132
SPRINGDALE EDUCATION CENTER,A0301821,13,25,4,12,16
SPRINGFIELD SDA JUNIOR ACADEMY,A0501933,13,25,-1,8,18
SQUARE ONE,A9706790,13,25,0,0,12
ST AGATHA SCHOOL,600653,21,25,-1,8,656
ST AGNES ACADEMY,602297,3,25,-1,8,149
ST AGNES SCHOOL,599147,17,25,0,8,315
ST ANN SCHOOL,599657,9,25,-1,8,129
ST ANNA SCHOOL,602661,27,25,-1,8,187
ST ANNE ELEMENTARY SCHOOL,602763,27,25,-1,8,149
ST ANNE MONTESSORI SCHOOL,K9302580,17,25,-1,0,43
ST ANTHONY SCHOOL,602923,27,25,-1,8,240
ST ANTHONY SCHOOL,601147,17,25,-1,8,287
ST AUGUSTINE ELEMENTARY SCHOOL,599533,9,25,-1,8,440
ST BERNADETTE ELEMENTARY SCHOO,A0301822,27,25,-1,8,534
ST BERNARDS CENTRAL CATHOLIC H,602592,27,25,9,12,285
ST BERNARDS ELEMENTARY SCHOOL,602606,27,25,-1,8,215
ST BRENDAN SCHOOL,601012,25,25,-1,6,217
ST BRIDGET SCHOOL,599668,17,25,-1,8,329
ST BRIDGET SCHOOL,599511,23,25,-1,7,210
ST CATHERINE OF GENOA SCHOOL,600096,17,25,-1,8,268
ST CATHERINE OF SIENA SCHOOL,599828,21,25,-1,8,515
ST CHARLES ELEMENTARY SCHOOL,600518,17,25,-1,8,224
ST COLUMBKILLE PARTNERSHIP SCH,600733,25,25,-1,8,326
ST FRANCIS OF ASSISI SCHOOL,599045,21,25,-1,8,348
ST FRANCIS XAVIER ELEMENTARY S,602027,5,25,-1,8,239
ST FRANCIS XAVIER PREP SCHOOL,A9902382,1,25,5,8,236
ST FRANCIS XAVIER SCHOOL,A1101259,21,25,-1,8,365
ST HERMAN OF ALASKA CHRISTIAN ,A9502270,25,25,0,8,31
ST JAMES & ST JOHN SCHOOL,601759,5,25,-1,8,263
ST JEROME ELEMENTARY SCHOOL,599817,21,25,-1,8,202
ST JOAN OF ARC SCHOOL,602399,13,25,-1,8,243
ST JOHN SCHOOL,599282,25,25,-1,8,206
ST JOHN THE BAPTIST SCHOOL,599861,9,25,-1,8,465
ST JOHN THE BAPTIST SCHOOL,602424,13,25,-1,8,270
ST JOHN THE EVANGELIST SCHOOL,599169,9,25,-1,8,232
ST JOHN THE EVANGELIST SCHOOL,602005,5,25,0,8,271
ST JOHN THE EVANGELIST SCHOOL,600369,21,25,-1,6,139
ST JOHN THE EVANGELIST SCHOOL,600846,21,25,-1,8,235
ST JOHN'S HIGH SCHOOL,A9300466,27,25,9,12,1050
ST JOHNS PREPARATORY SCHOOL,600937,9,25,9,12,1171
ST JOSEPH CENTRAL HIGH SCHOOL,602118,3,25,9,12,168
ST JOSEPH ELEMENTARY SCHOOL,601216,17,25,-1,8,482
ST JOSEPH ELEMENTARY SCHOOL,599056,21,25,0,5,426
ST JOSEPH ELEMENTARY SCHOOL,599599,21,25,-1,8,259
ST JOSEPH SCHOOL,602865,27,25,-1,8,125
ST JOSEPH SCHOOL,600256,17,25,-1,8,212
ST JOSEPH SCHOOL,601941,5,25,-1,8,222
ST JOSEPH SCHOOL OF ALL SAINTS,599624,9,25,-1,8,291
ST JUDE SCHOOL,600336,17,25,0,8,148
ST LEO SCHOOL,602796,27,25,-1,8,265
ST LOUIS ELEMENTARY SCHOOL,602876,27,25,-1,8,227
ST LOUIS SCHOOL,601533,17,25,-1,8,313
ST MARGARET ELEMENTARY SCHOOL,601329,17,25,-1,8,228
ST MARGARET REGIONAL SCHOOL,A9701988,1,25,0,8,197
ST MARK SCHOOL,602537,3,25,-1,8,108
ST MARK'S SCHOOL,2035993,27,25,9,12,349
ST MARY ELEMENTARY SCHOOL,602898,27,25,-1,8,277
ST MARY ELEMENTARY SCHOOL,602457,13,25,-1,8,241
ST MARY HIGH SCHOOL,602446,13,25,9,12,128
ST MARY OF THE ANNUNCIATION,600948,9,25,-1,8,361
ST MARY OF THE ASSUMPTION ELEM,600788,21,25,-1,8,235
ST MARY OF THE HILLS SCHOOL,600609,21,25,-1,8,358
ST MARY S JR/SR HIGH SCHOOL,2872264,27,25,7,12,118
ST MARY SCHOOL,599191,9,25,-1,8,173
ST MARY'S ACADEMY,602231,13,25,-1,8,253
ST MARY'S CATHOLIC SCHOOL,A0501934,5,25,0,8,219
ST MARY'S PRIMARY SCHOOL,601679,5,25,-1,5,266
ST MARY'S SCHOOL,602242,3,25,-1,8,132
ST MARY'S SCHOOL,602355,15,25,-1,8,125
ST MARY'S SCHOOL,600642,17,25,-1,8,390
ST MARY'S SCHOOL,600493,17,25,-1,5,164
ST MARY-SACRED HEART SCHOOL,601737,5,25,0,8,264
ST MARYS ELEMENTARY SCHOOL,1606417,27,25,-1,6,118
ST MARYS JR-SR HIGH SCHOOL,601271,9,25,6,12,597
ST MICHAEL ELEMENTARY SCHOOL,599792,9,25,-1,8,547
ST MICHAEL SCHOOL,601318,17,25,-1,8,411
ST MICHAEL SCHOOL,601894,5,25,-1,8,204
ST MICHAELS ACADEMY,602195,13,25,6,8,230
ST MONICA SCHOOL,600675,9,25,0,8,227
ST PATRICK SCHOOL,600041,25,25,-1,8,195
ST PATRICK SCHOOL & EDUCATION ,601307,17,25,-1,8,151
ST PAUL ELEMENTARY SCHOOL,599602,23,25,-1,8,221
ST PAUL SCHOOL,600278,21,25,-1,8,185
ST PETER ACADEMY,600201,25,25,-1,8,125
ST PETER CENTRAL CATHOLIC ELEM,602708,27,25,-1,8,386
ST PETER ELEMENTARY SCHOOL,1920322,17,25,-1,8,226
ST PETER-MARIAN CATHOLIC JR-SR,602741,27,25,7,12,586
ST PIUS V SCHOOL,601191,9,25,-1,8,504
ST PIUS X SCHOOL,A0501931,1,25,-1,8,214
ST RAPHAEL ELEMENTARY SCHOOL,600416,17,25,-1,8,373
ST ROSE SCHOOL,600904,25,25,-1,8,215
ST SEBASTIANS SCHOOL,601373,21,25,7,12,375
ST STANISLAUS ELEMENTARY SCHOO,602311,13,25,-1,8,365
ST STANISLAUS KOSTKA SCHOOL,A0300707,3,25,-1,8,140
ST STANISLAUS SCHOOL,601839,5,25,-1,8,190
ST STEPHEN ELEMENTARY SCHOOL,602821,27,25,-1,8,179
ST STEPHEN'S ARMENIAN ELEMENTA,A9103106,17,25,-1,5,178
ST THERESA SCHOOL,600289,25,25,-1,8,320
ST THOMAS AQUINAS SCHOOL,A0901822,27,25,1,12,15
ST THOMAS THE APOSTLE SCHOOL,602468,13,25,-1,8,354
ST VINCENT SCHOOL,601646,5,25,7,12,22
STE JEANNE D'ARC ELEMENTARY SC,599114,17,25,-1,8,398
STEP AHEAD KINDERGARTEN,A9706801,21,25,-1,0,39
STEPPING STONES SCHOOL,A9701990,17,25,-1,0,46
STERLING EAST-BOSTON CAMPUS,A0901798,17,25,7,12,10
STETSON SCHOOL,603508,27,25,5,12,74
STEVENS CHILDRENS HOME,A9103107,5,25,8,12,30
STONELEIGH BURNHAM SCHOOL,604294,11,25,7,12,131
STONERIDGE CHILDREN'S MONTESSO,A9103029,9,25,-1,8,129
STRIAR HEBREW ACADEMY,AA890452,21,25,-1,6,95
SUDBURY VALLEY SCHOOL,604669,17,25,-2,-2,150
SUMMIT ACADEMY SCHOOL FOR ALTE,A1101262,27,25,2,11,26
SUMMIT MONTESSORI SCHOOL,A0104122,17,25,-1,6,68
SUNSHINE COUNTRY DAY SCHOOL,A0307640,21,25,-1,0,36
SWANSEA WOOD SCHOOL,A0701310,5,25,8,12,26
TABOR ACADEMY,603891,23,25,9,12,516
TARA MONTESSORI SCHOOL,A9502272,9,25,-1,0,22
TAUNTON CATHOLIC MIDDLE SCHOOL,601668,5,25,5,8,207
TEEN CHALLENGE TWIN CITY GIRLS,A1101263,27,25,8,11,6
TENACRE COUNTRY DAY SCHOOL,604181,21,25,-1,6,192
TENDER LEARNING CENTRE,A9706827,17,25,-1,0,24
THACHER MONTESSORI SCHOOL,603144,21,25,-1,8,244
THAYER ACADEMY,603315,21,25,6,12,692
THE ACADEMY AT CHARLEMONT,2160776,11,25,7,12,110
THE ADVENT SCHOOL,A0104079,25,25,-1,6,213
THE BLUE HILL MONTESSORI SCHOO,K9302596,21,25,-1,0,48
THE BRIGHTON SCHOOL,A1192067,17,25,-1,6,44
THE CAMBRIDGE SCHOOL OF WESTON,603304,17,25,9,12,338
THE CAMPBELL SCHOOL,A0307647,21,25,-1,0,72
THE CARROLL SCHOOL,604013,17,25,1,9,370
THE CENTER FOR EDUCATION,A0901823,27,25,6,12,12
THE CHESTNUT HILLSCHOOL,603756,17,25,-1,6,272
THE CHILDREN'S CENTER FOR COMM,A1170915,9,25,-1,8,18
THE CHILDREN'S COOPERATIVE MON,A1101265,25,25,1,3,5
THE CHILDREN'S STUDIO LTD,A9706835,5,25,-1,0,47
THE CHILDRENS CASTLE,A9706837,9,25,-1,0,133
THE CHILDRENS WORKSHOP,A0770998,1,25,-1,0,70
THE COMMON SCHOOL,603188,15,25,-1,6,116
THE COTTAGE CHILDRENS CENTER,A0771000,17,25,-1,0,109
THE FAMILY SCHOOL,A9701951,1,25,-1,0,25
THE GIFFORD SCHOOL,A9103072,17,25,3,12,108
THE GODDARD SCHOOL,A1170921,21,25,-1,0,60
THE GODDARD SCHOOL,A0771001,27,25,-1,0,47
THE GODDARD SCHOOL,A0771003,21,25,-1,0,34
THE GOVERNORS ACADEMY,2161011,9,25,9,12,400
THE GREENHOUSE SCHOOL,2161124,9,25,-2,-2,20
THE GROWING TREE LEARNING CENT,A9706860,13,25,-1,0,10
THE HARTSBROOK SCHOOL,A9103118,15,25,-1,12,256
THE HATHAWAY SCHOOL,A0701311,9,25,-1,7,103
THE HENRY BUCKNER SCHOOL,A9502273,17,25,-1,1,37
THE IMAGO SCHOOL ASSOCIATION I,AA890455,17,25,0,8,87
THE ISLAMIC ACADEMY FOR PEACE,A0301806,9,25,-1,8,137
THE JUDGE ROTENBERG CENTER,A9701991,21,25,2,12,180
THE KENDALL SCHOOL,A9706863,17,25,-1,0,80
THE LAUREL SCHOOL,A9701960,1,25,-1,5,119
THE LEARNING CENTER FOR THE DE,2160834,17,25,-1,12,196
THE LEARNING EXPERIENCE AT CHE,A1170925,17,25,-1,0,42
THE MACDUFFIE SCHOOL,603949,15,25,6,12,198
THE MAY CENTER FOR CHILD DEVEL,603406,21,25,-1,12,134
THE MAY CENTER FOR CHILD DEVEL,A0701294,17,25,2,11,50
THE MONTESSORI CHILDREN'S HOUS,A1170929,27,25,-1,0,30
THE MONTESSORI SCHOOL OF NORTH,A1101249,15,25,-1,6,115
THE MONTESSORI SCHOOL OF THE A,K9302615,5,25,-1,8,130
THE MONTESSORI SCHOOL OF THE B,A0771008,3,25,-1,8,86
THE NATIVITY SCHOOL OF WORCEST,A0501939,27,25,5,8,54
THE NEWMAN SCHOOL,603971,25,25,9,12,250
THE PARK SCHOOL,604115,21,25,-1,9,565
THE PHOENIX SCHOOL,2161113,9,25,-1,8,31
THE PIKE SCHOOL,604738,9,25,-1,9,441
THE PINECROFT SCHOOL,A0901826,5,25,0,5,35
THE RASHI SCHOOL,A0740073,21,25,0,8,307
THE RIDGE HILL SCHOOL,A9706896,23,25,-1,0,90
THE RIVERS SCHOOL,604206,17,25,6,12,469
THE SAGE SCHOOL,A9303053,21,25,-1,8,162
THE TOBIN SCHOOL,A0771009,17,25,-1,4,57
THE TREEMONT SCHOOL,BB121230,17,25,5,6,11
THE VICTOR SCHOOL,A0301830,17,25,8,12,55
THE VILLAGE SCHOOL,A0901827,27,25,-1,6,54
THE VILLAGE SCHOOL,A1170934,9,25,-1,0,103
THE WALKER SCHOOL,2035381,21,25,0,8,73
THE WARING SCHOOL,2033839,9,25,6,12,152
THE WILLISTON NORTHAMPTON SCHO,604341,15,25,7,12,528
THE WOODWARD SCHOOL,604829,21,25,6,12,127
THEOPHANY SCHOOL,A1101266,21,25,-1,0,21
TORAH ACADEMY,AA000661,21,25,-1,8,207
TORIT LANGUAGE CENTER MONTESSO,A1170937,25,25,-1,0,35
TOUCHSTONE COMMUNITY SCHOOL,AA001519,27,25,-1,8,103
TOWER DAY SCHOOL,A9706907,9,25,-1,0,105
TOWER SCHOOL,604749,9,25,-1,8,297
TREETOPS MONTESSORI SCHOOL,A9502275,27,25,-1,0,44
TRI-COUNTY SCHOOLS,A9303204,15,25,3,12,101
TRINITY CATHOLIC ACADEMY,600777,23,25,-1,8,556
TRINITY CATHOLIC ACADEMY,602774,27,25,-1,8,194
TRINITY CATHOLIC HIGH SCHOOL,599726,17,25,9,12,192
TRINITY CHRISTIAN ACADEMY,603494,1,25,-1,12,131
TRINITY NURSERY AND KINDERGART,A1170939,13,25,-1,0,60
TRIVIUM SCHOOL,A9701993,27,25,7,12,76
TUFTS EDUCATIONAL DAYCARE CENT,A9706911,17,25,-1,0,44
TWIN CITY CHRISTIAN SCHOOL,1610762,27,25,-1,12,94
URSULINE ACADEMY,600959,21,25,7,12,398
VALLEY VIEW SCHOOL,603552,27,25,6,12,32
VALLEY WEST SCHOOL,A0301832,13,25,1,12,74
VENERINI ACADEMY,1651801,27,25,-1,8,291
VERITAS ACADEMY,A0104127,1,25,-1,8,45
VILLAGE GREEN PRESCHOOL AND DC,A1170943,5,25,-1,0,32
VINEYARD MONTESSORI SCHOOL,603133,7,25,-1,2,48
VISTA PREPARATORY SCHOOL,A1101268,9,25,2,4,2
WACHUSETT HILLS CHRISTIAN SCHO,A9502189,27,25,1,8,19
WALDEN STREET SCHOOL,A0701315,17,25,5,12,28
WALDORF SCHOOL OF CAPE COD,A9303196,1,25,-1,8,106
WALDORF SCHOOL OF LEXINGTON,604807,17,25,-1,8,230
WALNUT HILL SCHOOL FOR THE ART,603993,17,25,9,12,274
WALNUT PARK MONTESSORI,K9500290,17,25,-1,0,128
WARREN SDA ELEMENTARY SCHOOL,AA001607,27,25,1,9,32
WAYSIDE ACADEMY,A9103119,17,25,7,12,26
WESLEY CHILD CARE CENTER,A9706942,25,25,-1,5,57
WESTFIELD CHRISTIAN ACADEMY,A0501942,13,25,0,9,107
WHITE OAK SCHOOL,A9502278,13,25,7,12,84
WHITINSVILLE CHRISTIAN SCHOOL,603869,27,25,-1,12,549
WHITNEY ACADEMY,A9103120,5,25,-2,-2,43
WILBRAHAM & MONSON ACADEMY,604261,13,25,6,12,404
WILLIE ROSS SCHOOL FOR DEAF,2033941,13,25,-1,12,61
WILLOW HILL SCHOOL,603155,17,25,6,12,60
WINSOR SCHOOL,603767,25,25,5,12,434
WOBURN MONTESSORI SCHOOL,A9502279,17,25,-1,1,12
WOLLASTON CHILD CARE CENTER,A0307665,21,25,-1,0,68
WOODSIDE MONTESSORI ACADEMY,A9502280,21,25,-1,8,60
WOODSIDE SCHOOL & COMMUNITY RE,A0307667,23,25,-1,0,77
WORCESTER ACADEMY,603712,27,25,6,12,641
WORCESTER SEVENTH-DAY ADVENTIS,605389,27,25,1,8,20
XAVERIAN BROTHERS HIGH SCHOOL,600303,21,25,9,12,909
YAWKEY KONBIT KREYOL CENTER,A1170946,25,25,-1,0,73
YESHIVA ACHEI TMIMIM ACADEMY,604851,27,25,0,12,72
YMCA CENTER FOR CHILD DEVELOPM,A0771012,27,25,-1,0,23
YMCA CTR FOR CHILD DEVELOPMENT,A0771011,27,25,-1,0,45
