age,gender,state,Prescribe_Atorvastatin_10_Mg_Oral_Tablet,Prescribe_Atorvastatin_10_Mg_Oral_Tablet_Lipitor,Prescribe_Atorvastatin_20_Mg_Oral_Tablet,Prescribe_Atorvastatin_40_Mg_Oral_Tablet,Prescribe_Atorvastatin_40_Mg_Oral_Tablet_Lipitor,Prescribe_Atorvastatin_80_Mg_Oral_Tablet
65-103,F,Wisconsin,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Wyoming,0.262,0.007,0.275,0.372,0.0,0.084
65-103,M,Alabama,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Alaska,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Arizona,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Arkansas,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,California,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Colorado,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Connecticut,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,Delaware,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,District of Columbia,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Florida,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Georgia,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Hawaii,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Idaho,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Illinois,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Indiana,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Iowa,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Kansas,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Kentucky,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Louisiana,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Maine,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,Maryland,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Massachusetts,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,Michigan,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Minnesota,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Mississippi,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Missouri,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Montana,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Nebraska,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Nevada,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,New Hampshire,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,New Jersey,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,New Mexico,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,New York,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,North Carolina,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,North Dakota,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Ohio,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Oklahoma,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Oregon,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Pennsylvania,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,Rhode Island,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,South Carolina,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,South Dakota,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Tennessee,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Texas,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Utah,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,Vermont,0.208,0.008,0.199,0.408,0.0,0.177
65-103,M,Virginia,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Washington,0.129,0.022,0.229,0.462,0.0,0.158
65-103,M,West Virginia,0.158,0.006,0.365,0.337,0.0,0.134
65-103,M,Wisconsin,0.145,0.005,0.279,0.374,0.0,0.197
65-103,M,Wyoming,0.129,0.022,0.229,0.462,0.0,0.158
