age,gender,state,Prescribe_24_Hr_Propranolol_Hydrochloride_120_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_160_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_60_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_80_Mg_Extended_Release_Oral_Capsule,Prescribe_Propranolol_Hydrochloride_10_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_20_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_40_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_60_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_80_Mg_Oral_Tablet
46-65,F,Kentucky,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Louisiana,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Maine,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,Maryland,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Massachusetts,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,Michigan,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Minnesota,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Mississippi,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Missouri,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Montana,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Nebraska,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Nevada,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,New Hampshire,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,New Jersey,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,New Mexico,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,New York,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,North Carolina,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,North Dakota,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Ohio,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Oklahoma,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Oregon,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Pennsylvania,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,Rhode Island,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,South Carolina,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,South Dakota,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Tennessee,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Texas,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Utah,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Vermont,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,Virginia,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Washington,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,West Virginia,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Wisconsin,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Wyoming,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,M,Alabama,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Alaska,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Arizona,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Arkansas,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,California,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Colorado,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Connecticut,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,Delaware,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,District of Columbia,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Florida,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Georgia,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Hawaii,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Idaho,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Illinois,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Indiana,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Iowa,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Kansas,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Kentucky,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Louisiana,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Maine,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,Maryland,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Massachusetts,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,Michigan,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Minnesota,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Mississippi,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Missouri,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Montana,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Nebraska,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Nevada,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,New Hampshire,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,New Jersey,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,New Mexico,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,New York,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,North Carolina,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,North Dakota,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Ohio,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Oklahoma,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Oregon,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Pennsylvania,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,Rhode Island,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,South Carolina,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,South Dakota,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Tennessee,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Texas,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Utah,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,Vermont,0.0,0.0,0.445,0.0,0.0,0.0,0.212,0.343,0.0
46-65,M,Virginia,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Washington,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
46-65,M,West Virginia,0.026,0.083,0.135,0.064,0.094,0.1,0.498,0.0,0.0
46-65,M,Wisconsin,0.0,0.398,0.0,0.269,0.0,0.0,0.0,0.333,0.0
46-65,M,Wyoming,0.0,0.214,0.0,0.214,0.0,0.286,0.287,0.0,0.0
65-103,F,Alabama,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Alaska,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Arizona,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Arkansas,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,California,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Colorado,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Connecticut,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,Delaware,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,District of Columbia,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Florida,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Georgia,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Hawaii,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Idaho,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Illinois,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Indiana,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Iowa,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Kansas,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Kentucky,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Louisiana,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Maine,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,Maryland,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Massachusetts,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,Michigan,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Minnesota,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Mississippi,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Missouri,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Montana,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Nebraska,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Nevada,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,New Hampshire,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,New Jersey,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,New Mexico,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,New York,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,North Carolina,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,North Dakota,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Ohio,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Oklahoma,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Oregon,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Pennsylvania,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,Rhode Island,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,South Carolina,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,South Dakota,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Tennessee,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Texas,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Utah,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,Vermont,0.0,0.0,0.0,0.094,0.675,0.0,0.231,0.0,0.0
65-103,F,Virginia,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Washington,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,F,West Virginia,0.072,0.045,0.122,0.041,0.252,0.258,0.209,0.0,0.0
65-103,F,Wisconsin,0.164,0.0,0.184,0.114,0.14,0.119,0.165,0.0,0.114
65-103,F,Wyoming,0.0,0.0,0.138,0.0,0.342,0.52,0.0,0.0,0.0
65-103,M,Alabama,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Alaska,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Arizona,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Arkansas,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,California,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Colorado,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Connecticut,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,Delaware,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,District of Columbia,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Florida,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Georgia,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Hawaii,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Idaho,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Illinois,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Indiana,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Iowa,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Kansas,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Kentucky,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Louisiana,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Maine,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,Maryland,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Massachusetts,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,Michigan,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Minnesota,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Mississippi,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Missouri,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Montana,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Nebraska,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Nevada,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,New Hampshire,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,New Jersey,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,New Mexico,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,New York,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,North Carolina,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,North Dakota,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Ohio,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Oklahoma,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Oregon,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Pennsylvania,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,Rhode Island,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,South Carolina,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,South Dakota,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Tennessee,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Texas,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Utah,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,Vermont,0.263,0.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0
65-103,M,Virginia,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Washington,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
65-103,M,West Virginia,0.0,0.0,0.0,0.0,0.109,0.0,0.757,0.0,0.134
65-103,M,Wisconsin,0.055,0.281,0.133,0.0,0.349,0.0,0.0,0.0,0.182
65-103,M,Wyoming,0.0,0.0,0.0,0.193,0.313,0.0,0.351,0.143,0.0
8-11,F,Illinois,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Indiana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Iowa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Kansas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Michigan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Minnesota,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Missouri,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Nebraska,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,North Dakota,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Ohio,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,South Dakota,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8-11,F,Wisconsin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
