age,gender,state,Prescribe_24_Hr_Carvedilol_Phosphate_10_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Carvedilol_Phosphate_20_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Carvedilol_Phosphate_20_Mg_Extended_Release_Oral_Capsule_Coreg,Prescribe_Carvedilol_12_5_Mg_Oral_Tablet,Prescribe_Carvedilol_12_5_Mg_Oral_Tablet_Coreg,Prescribe_Carvedilol_25_Mg_Oral_Tablet,Prescribe_Carvedilol_25_Mg_Oral_Tablet_Coreg,Prescribe_Carvedilol_3_125_Mg_Oral_Tablet,Prescribe_Carvedilol_6_25_Mg_Oral_Tablet,Prescribe_Carvedilol_6_25_Mg_Oral_Tablet_Coreg
46-65,M,Oregon,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Pennsylvania,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,Rhode Island,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,South Carolina,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,South Dakota,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Tennessee,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Texas,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Utah,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Vermont,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,Virginia,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Washington,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,West Virginia,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Wisconsin,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Wyoming,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
65-103,F,Alabama,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Alaska,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Arizona,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Arkansas,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,California,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Colorado,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Connecticut,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,Delaware,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,District of Columbia,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Florida,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Georgia,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Hawaii,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Idaho,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Illinois,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Indiana,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Iowa,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Kansas,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Kentucky,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Louisiana,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Maine,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,Maryland,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Massachusetts,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,Michigan,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Minnesota,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Mississippi,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Missouri,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Montana,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Nebraska,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Nevada,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,New Hampshire,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,New Jersey,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,New Mexico,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,New York,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,North Carolina,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,North Dakota,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Ohio,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Oklahoma,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Oregon,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Pennsylvania,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,Rhode Island,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,South Carolina,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,South Dakota,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Tennessee,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Texas,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Utah,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,Vermont,0.0,0.0,0.0,0.105,0.0,0.222,0.0,0.328,0.345,0.0
65-103,F,Virginia,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Washington,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,F,West Virginia,0.0,0.0,0.0,0.278,0.0,0.295,0.0,0.163,0.264,0.0
65-103,F,Wisconsin,0.0,0.0,0.0,0.523,0.0,0.215,0.0,0.139,0.123,0.0
65-103,F,Wyoming,0.0,0.0,0.0,0.264,0.0,0.284,0.0,0.3,0.153,0.0
65-103,M,Alabama,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Alaska,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Arizona,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Arkansas,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,California,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Colorado,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Connecticut,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,Delaware,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,District of Columbia,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Florida,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Georgia,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Hawaii,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Idaho,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Illinois,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Indiana,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Iowa,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Kansas,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Kentucky,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Louisiana,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Maine,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,Maryland,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Massachusetts,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,Michigan,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Minnesota,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Mississippi,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Missouri,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Montana,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Nebraska,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Nevada,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,New Hampshire,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,New Jersey,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,New Mexico,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,New York,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,North Carolina,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,North Dakota,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Ohio,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Oklahoma,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Oregon,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Pennsylvania,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,Rhode Island,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,South Carolina,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,South Dakota,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Tennessee,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Texas,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Utah,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,Vermont,0.0,0.0,0.0,0.219,0.0,0.334,0.0,0.15,0.297,0.0
65-103,M,Virginia,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Washington,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
65-103,M,West Virginia,0.0,0.003,0.0,0.238,0.015,0.146,0.0,0.283,0.315,0.0
65-103,M,Wisconsin,0.0,0.0,0.0,0.327,0.0,0.397,0.0,0.072,0.204,0.0
65-103,M,Wyoming,0.0,0.0,0.0,0.259,0.0,0.211,0.0,0.371,0.159,0.0
