age,gender,state,Prescribe_Atorvastatin,Prescribe_Ezetimibe_Simvastatin,Prescribe_Lovastatin,Prescribe_Pitavastatin,Prescribe_Pravastatin,Prescribe_Rosuvastatin,Prescribe_Simvastatin
65-103,F,Indiana,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Iowa,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Kansas,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Kentucky,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Louisiana,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Maine,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,Maryland,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Massachusetts,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,Michigan,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Minnesota,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Mississippi,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Missouri,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Montana,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Nebraska,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Nevada,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,New Hampshire,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,New Jersey,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,New Mexico,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,New York,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,North Carolina,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,North Dakota,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Ohio,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Oklahoma,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Oregon,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Pennsylvania,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,Rhode Island,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,South Carolina,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,South Dakota,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Tennessee,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Texas,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Utah,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Vermont,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,Virginia,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Washington,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,West Virginia,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Wisconsin,0.457,0.0,0.043,0.002,0.13,0.083,0.285
65-103,F,Wyoming,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,M,Alabama,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Alaska,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Arizona,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Arkansas,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,California,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Colorado,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Connecticut,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,Delaware,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,District of Columbia,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Florida,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Georgia,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Hawaii,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Idaho,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Illinois,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Indiana,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Iowa,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Kansas,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Kentucky,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Louisiana,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Maine,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,Maryland,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Massachusetts,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,Michigan,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Minnesota,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Mississippi,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Missouri,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Montana,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Nebraska,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Nevada,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,New Hampshire,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,New Jersey,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,New Mexico,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,New York,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,North Carolina,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,North Dakota,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Ohio,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Oklahoma,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Oregon,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Pennsylvania,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,Rhode Island,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,South Carolina,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,South Dakota,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Tennessee,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Texas,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Utah,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,Vermont,0.548,0.013,0.044,0.004,0.09,0.086,0.215
65-103,M,Virginia,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Washington,0.554,0.012,0.037,0.002,0.071,0.065,0.258
65-103,M,West Virginia,0.471,0.002,0.026,0.002,0.166,0.118,0.215
65-103,M,Wisconsin,0.486,0.016,0.065,0.003,0.094,0.082,0.255
65-103,M,Wyoming,0.554,0.012,0.037,0.002,0.071,0.065,0.258
